,slug,name,last_name,profile_picture,company_picture,company_name,company_role,bio,verticals,vertical
10,priscila-peres,Priscila,Peres,UHJpc2NpbGEgUGVyZXMgMzA3NTQgOTMxNzM=.jpeg,UHJpc2NpbGEgUGVyZXMgMzA3NTQgOTAwMzkgY29tcA==.png,CI&T,Sr. Product Manager,"Publicitária por formação, Product Manager com experiência em empresas como Banco Carrefour, Banco Santander/Ben Visa Vale. Amante da Inovação e como Estrategista Digital atuo diretamente na geração de valor ao cliente. Co-criadora do @Miv.br e Facilitadora do Workshop #IamRemarkable",['PM'],gestão de produtos
11,felipe-tinoco,Felipe,Tinoco,RmVsaXBlIFRpbm9jbyAxMjIgMzkxMjAgYWRt.jpeg,RmVsaXBlIFRpbm9jbyAxMjIgMzkyOTNfYWRt.jpeg,Google,Product Strategy Lead,"Product Strategy Lead com experiência em empresas como Google, Verizon Media e PetAnjo, Felipe é formado em Design Gráfico pelo Centro Belas Artes, possui Master's Degree em Marketing pela ESPM e certificado em Liderança e Inovação pela Universidade Stanford.",['PM'],gestão de produtos
12,jefferson-alex,Jefferson,Alex,SmVmZmVyc29uIEFsZXggU2lsdmEgMTU0OTEgMzAxNjM=.jpeg,SmVmZmVyc29uIEFsZXggMTU0OTEgODQ2ODggY29tcA==.jpeg,Brivia,Lead Experience Design,"Lead Experience Design com experiência em empresas como Brivia, Pravaler, Proz Educação, ília Digital, BossaBox, a55 e ZENVIA. Formado em Sistemas, Design, Marketing e com pós em Big Data, UX e Neuropsicologia.",['UX'],design
13,tuane-padilha,Tuane,Padilha,VHVhbmUgUGFkaWxoYSAxNDgzMCA4MTExNg==.jpeg,VHVhbmUgUGFkaWxoYSAxNDgzMCA1MzE3MSBjb21w.jpeg,On2,"People Manager | Mentora de Carreira, LinkedIn e Currículo | Membra ABOP (Associação Brasileira de Orientação Profissional)","People Manager, com 10 anos de experiência em empresas dos segmentos: tecnologia, serviços financeiros, indústria bélica, saúde, educação e construção civil. Tuane é pós-graduanda em Gestão de Pessoas e Liderança Coaching e formada em Recursos Humanos. Membra ABOP (Associação Brasileira de Orientação Profissional) desde 2022. 

Acompanhando mais de 80 estudantes, profissionais recolocados em empresas como Nubank, Falconi, Involves, CTC, Take Blip, Certsys, Môre Talent Tech, idwall, BRQ Digital Solutions, BlueShift, entre outras.


Café sem cafeína, gatos, feminismos, minimalismo, Netflix + pizza #govegan🌱",['CONSULTANT'],carreira
14,tito-rezende,Tito,Rezende,VGl0byBWaWVpcmEgZGUgUmV6ZW5kZSBOZXRvIDM0OTEyIDQ2NTg5.jpeg,VGl0byBSZXplbmRlIDM0OTEyIDc1ODc2IGNvbXA=.jpeg,moises.ai,Product Experience Analyst,"Atuando na área de Data e Product Analytics e com foco em análise, visualização e modelagem de dados. Com experiência em empresas como moises.ai, Liv Up, 99, Oi e IBM. ",['DS'],ciência de dados
15,alefe-fazio,Alefe,Fazio,QWxlZmUgRmF6aW8gMzA3NTUgNTc0NzQ=.jpeg,QWxlZmUgRmF6aW8gMzA3NTUgMjM1MDcgY29tcA==.png,OLX Brasil,Product Manager,"Product Manager, com experiência em empresas como OLX Brasil, Quero Educação e Ambev, Alefe é formado em Análise e Desenvolvimento de Sistemas (IBTA - Brasil & Durham College - Canadá).",['PM'],gestão de produtos
16,lucas-oliveira,Lucas,Oliveira,THVjYXMgT2xpdmVpcmEgNDE1NjkgOTc3MDA=.jpeg,THVjYXMgT2xpdmVpcmEgNDE1NjkgNDc4MjEgY29tcA==.jpeg,Bankly,Senior Data Scientist,"Senior Data Scientist, com experiência em empresas como Radix, Somos e atualmente Bankly - Bank as a Service, Lucas é formado em Engenharia com Mestrado pela UFMG em Ciência de Dados. ",['DS'],ciência de dados
17,veronica-sartori,Veronica,Sartori,VmVyb25pY2EgU2FydG9yaSAzMTAgMjY3NTA=.jpeg,VmVyb25pY2EgU2FydG9yaSAyMyA2NDQyMl9hZG0=.jpeg,Google,Staff Product Specialist,"Staff Product Specialist com experiência em empresas como Google, Bradesco e Nubank, Veronica é formada pela PUC Rio com especialização em Usabilidade e Arquitetura de Informaçãoe possui no portfólio projetos feitos para grandes empresas, como Google, Stellantis (Fiat, Jeep, Citroën, Peugeot, RAM) e Bradesco. ","['UX', 'PM']",design
18,lucas-anjos,Lucas,Anjos,THVjYXMgQW5qb3MgMzkyNDUgNTAyMzU=.png,THVjYXMgQW5qb3MgMzkyNDUgOTAzNTQgY29tcA==.png,Grover,Senior Software Engineer,"Morando na Alemanha, trabalho em uma unicórnio liderando o time de Payments, onde processamos milhares de euros em mais de 6 países.",['WD'],programação
19,paula-lima,Paula,Lima,UGF1bGEgTGltYSAxNDgzMSA4NjMyMg==.jpeg,,Awari,Consultoria de Carreira,"Tenho 10 anos de experiência com gestão e desenvolvimento de pessoas. Atuação em multinacionais e foco em tecnologia. Sou Psicóloga, orientadora de carreira, analista de recrutamento e seleção, tech recruiter. Adoro cinema, leitura e sou musicista nas horas vagas. ",['CONSULTANT'],carreira
20,raphael-guastaferro,Raphael,Guastaferro,UmFwaGFlbCBHdWFzdGFmZXJybyAyMTcxMSAyNDU4.jpeg,UmFwaGFlbCBHdWFzdGFmZXJybyAyMTcxMSA5NjQ1NSBjb21w.png,BLU365,Product Manager,"Product Manager na BLU365, há 12 anos construindo produtos digitais, antes da migraçāo para Product Manager já atuei como Designer e Desenvolvedor, o que me ajudou a ter uma visāo mais completa sobre produtos digitais.
Formado em Design Digital pela Anhembi Morumbi, especializado em Liderança de Produtos Digitais e pós graduando em Gestāo de Produtos pela BBI of Chicago.",['PM'],gestão de produtos
21,ingrid-soares,Ingrid,Soares,SW5ncmlkIFNvYXJlcyAzMzQgMTc2Njc=.jpeg,SW5ncmlkIFNvYXJlcyA0NyA2ODc3NV9hZG0=.jpeg,iFood,Product Designer,"Senior Product Designer, com experiência em empresas como Magalu, PicPay. Sou formada em Design de produto na Universidade Vila Velha.",['UX'],design
22,edson-delavia,Edson,Delavia,RWRzb24gRGVsYXZpYSAyODA0NiAxOTQ2OA==.jpeg,RWRzb24gRGVsYXZpYSAyODA0NiA5NzkzNCBjb21w.jpeg,BossaBox,Senior Analytics Engineer,"Senior Analytics Engineer com experiência em empresas como BossaBox, PicPay e Lojas Pernambucanas, Edson é graduado em Matemática pelo Mackenzie e possui especialização em Estatística Aplicada. ",['DS'],ciência de dados
23,tania-mendonca,Tânia,Mendonça,VMOibmlhIE1lbmRvbsOnYSAyOTgwNSA3NDY5.jpeg,VMOibmlhIE1lbmRvbsOnYSAyOTgwNSA5ODQ2NiBjb21w.png,QuintoAndar,Senior Product Designer,"Senior Product Designer no QuintoAndar, com experiência em empresas como Globo e Americanas.com, Tânia é especialista em Design Estratégico pela ESPM e formada em Comunicação Visual Design pela UFRJ.","['UX', 'PM']",design
24,otavio-flausino,Otávio,Flausino,T3TDoXZpbyBGbGF1c2lubyAyNzg4NSA4NjM4OQ==.png,T3TDoXZpbyBGbGF1c2lubyAyNzg4NSAxNDIwMCBjb21w.jpeg,CERC,SR Business Partner | Recrutamento | Treinamento e Desenv.,"Sr HRBP, atuo com consultoria interna de RH. Tenho experiência no atendimento de áreas de Tecnologia e Negócios - apoiando na orientação, formação e desenvolvimento de times e lideranças – tocando também estratégias de recrutamento e seleção de posições de profissionais em início de carreira até cargos de diretoria. Possuo passagens por empresas do ramo de tecnologia financeira, como no PayGo|C6 Bank, B2W Digital|Americanas, e TradersClub e, atualmente, na CERC (que atua como uma IMF - Infraestrutura de Mercado Financeiro). Carreira construída por passagens em diferenciados subsistemas de RH, possuo MBA em Gestão de Pessoas pela USP.  Em 2022, foi palestrante na Trilha de Carreiras do TDC – The Developer’s Conference.",['CONSULTANT'],carreira
25,thiago-andozia,Thiago,Tanure,VGhpYWdvIEFuZG96aWEgMjU4MzUgOTg1Mjk=.jpeg,VGhpYWdvIEFuZG96aWEgMjU4MzUgMTkzMzMgY29tcA==.jpeg,"Aviva, Canada",Cientista de Dados,"Data Scientist, com experiência em empresas como Aviva Canada Inc. e Paschoalotto. Possuo mais de 10 anos de experiência em Ciência e Análise de Dados. Sou formado em Administração pela Anhanguera e possuo MBA em Data Science e Machine Learning pela FIB Bauru. Atualmente morando no Canada, gosto de compartilhar experiências que podem ajudar pessoas em seus objetivos, sejam profissionais ou pessoais. Também falo de música, skate e viagem!",['DS'],ciência de dados
26,daniel-rodrigues,Daniel,Rodrigues,RGFuaWVsIFJvZHJpZ3VlcyAyODczMCA0MDA0Nw==.jpeg,RGFuaWVsIFJvZHJpZ3VlcyAyODczMCA0MTY3MyBjb21w.png,Hotmart,Tech Lead,"Tech Lead com experiência em empresas como Hotmart, Take Blip e Verticis Web Studio, Daniel é pós graduado em Engenharia de Software e apaixonado por tecnologia, padrões de projeto, desenvolvimento de software e pelo universo DevOps.",['WD'],programação
27,vitor-musachio,Vitor,Musachio,Vml0b3IgTXVzYWNoaW8gMzk2MDggMTA0Njc=.jpeg,Vml0b3IgTXVzYWNoaW8gMzk2MDggOTM2OTQgY29tcA==.jpeg,Loggi,Senior Data & Business Analytics,"Senior Data & Business Analytics na Loggi, há 5 anos atuando em projetos de Analytics e Engenharia de Dados. Especialização em Ciência de Dados pela PUC-Rio.",['DS'],ciência de dados
28,jonatas-maia,Jonatas,Maia,Sm9uYXRhcyBNYWlhIDMxNiAyNDI1MQ==.jpeg,Sm9uYXRhcyBNYWlhIDMxNiA0NDQ3NSBjb21w.png,Globo,Senior product designer,"Senior Product Designer com experiência em empresas como Globo, VTEX e Rastro, Jonatas é graduado em Comunicação Visual pela UFRJ e possui formação em Digital Design, Interaction Design and Service Design pelo Savannah College of Art and Design.",['UX'],design
29,christian-polo,Christian,Polo,Q2hyaXN0aWFuIFBvbG8gNDE2NjUgOTMyNjc=.png,Q2hyaXN0aWFuIFBvbG8gNDE2NjUgNTM4NzMgY29tcA==.png,Liv Up,Senior Data Scientist,"Atuo como Senior Data Scientist na Liv Up! Já passei por empresas como Dotz, Hidrovias do Brasil e AkzoNobel. Tenho experiência em projetos como cientista, engenheiro e analista de dados. Sou formado em Administração de Empresas assim como Análise e Desenvolvimento de Sistemas.",['DS'],ciência de dados
30,patricia-duchnicky,Patricia,Duchnicky,UGF0cmljaWEgRHVjaG5pY2t5IDQwMTY5IDg0Njg2.jpeg,UGF0cmljaWEgRHVjaG5pY2t5IDQwMTY5IDk1ODc2IGNvbXA=.png,"Questrade, Canada",Senior Talent Acquisition Specialist (Tech),"Paixão por Inovação e Tecnologia com foco em Pessoas.

Meu objetivo é contribuir com insights para exponenciar sua carreira fazendo o que ama e pra isso é necessário definir objetivos, metas e muita ação para alcançar seus objetivos!

Bora agendar uma mentroria?!?
 
PS: Contratando muuuuuiiiita gente pra fintech Canadense Questrade! 

#ex-Uber 
#ex-Revelo 
#ex-GM 
#ex-VW 
#ex-Ford",['CONSULTANT'],carreira
31,luciano-santos,Luciano,Santos,THVjaWFubyBTYW50b3MgMTQ5OTAgNDYwNjY=.jpeg,THVjaWFubyBTYW50b3MgMzEwIDY2MzcxX2FkbQ==.jpeg,Magazine Luiza,Squad Lead,"Squad Lead, atuando em grandes empresas do setor Financeiro, Oftalmológico, Varejo, Seguros, em empresas como LuizaLabs, Lojas Riachuelo e BM&FBOVESPA, Luciano é Pós-Graduado em Processamento de Dados.","['DS', 'WD']",ciência de dados
32,andre-zagatti,André,Zagatti,QW5kcsOpIFphZ2F0dGkgNDM5NTUgODY5MA==.jpeg,QW5kcsOpIFphZ2F0dGkgNDM5NTUgOTQ5NTQgY29tcA==.png,Zé Delivery,Software Engineer,"Software Engineer Frontend no Zé Delivery. Atuando com desenvolvimento mobile com React Native. Completamente apaixonado por tecnologia e hoje buscando ser especialista em desenvolvimento mobile, principalmente com React Native. Formado em Ciência da Computação pela Universidade do Sagrado Coração (Bauru).",['WD'],programação
33,paulo-lucone-benitez-codas,Paulo,Lucone,UGF1bG8gTHVjb25lIEJlbml0ZXogQ29kYXMgMTI2NzAgNDQwNTY=.jpeg,UGF1bG8gTHVjb25lIDEyNjcwIDgxNDE4IGNvbXA=.png,NEON,Senior Product Manager - Tribo Investimentos,"Senior Product Manager - Tribo Investimentos na Neon.
Especialista em Investimentos com Certificado internacional CFP® , com experiência em empresas como Santander, B3 - Brasil, Bolsa e Balcão, Gorila Invest e Neon, Paulo é formado em Engenharia de telecomunicações  pela FEI e possui MBA em Finanças pelo IBMEC, tem 6 anos de experiência com produtos digitais voltados ao mercado financeiro.
Possui outras 4 certificações do mercado financeiro.",['PM'],gestão de produtos
34,yves-gouw,Yves,Gouw,WXZlcyBHb3V3IDM2OCA0NjM3Nw==.png,WXZlcyBHb3V3IDM2OCA1MjUxNyBjb21w.png,Zé Delivery,Product Design Specialyst,"Oi! Meu nome é Yves, Especialista em Design de Produtos. O que eu acredito? Acredito que um bom designer deve valorizar o impacto sobre a forma, e precisamos estar cientes que a responsabilidade do nosso trabalho é mais relevante do nosso envolvimento com ele. Quando você é contratado para projetar algo, você é contratado por sua experiência. Design não é apenas produzir esse trabalho, mas avaliar o impacto desse trabalho. Design é transmitir a ressonância desse trabalho para seu cliente ou empregador. É tudo sobre ser experimental, no comportamento centrado no ser humano.

Minha trajetória com produtos digitais vem desde 2013, atuando em diversas frentes considerando as respectivas jornadas dos usuários em seus players. Se quiser saber um pouco mais, chega mais que eu te conto ;)
",['UX'],design
35,rodrigo-lorenzi,Rodrigo,Lorenzi,Um9kcmlnbyBMb3JlbnppIDEwMzg1IDI3NDE0.jpeg,Um9kcmlnbyBMb3JlbnppIDE3MSA0MjkyX2FkbQ==.jpeg,Dell,Global eComm Analytics & BI Senior Advisor,"Global eComm Analytics & BI Senior Advisor com experiência em empresas como Dell, Cadastra e Paim Comunicação, Rodrigo é formado em jornalismo e possui MBA em Data Science & Analytics pela USP.",['DS'],ciência de dados
36,wagner-guimaraes,Wagner,Guimarães,V2FnbmVyIEd1aW1hcsOjZXMgMTQ5ODIgNzk5Ng==.jpeg,V2FnbmVyIEd1aW1hcsOjZXMgMTQ5ODIgMzg1ODQgY29tcA==.png,Youse Seguros,Especialista em Product Design,"Atuo ha 12 anos no mercado de digital com foco em estratégia de produtos e UX. 
Traduzo necessidades, motivações e comportamentos dos usuários em experiencia, gerando impactos em negócios.","['UX', 'PM']",design
37,giovanni-giraldeli,Giovanni,Giraldeli,R2lvdmFubmkgR2lyYWxkZWxpIDM0MjkwIDczODk0.jpeg,R2lvdmFubmkgR2lyYWxkZWxpIDM0MjkwIDQ3NDIyIGNvbXA=.png,QuintoAndar,Analista de Dados Sênior,"Senior Data Analyst com experiência em empresas como Itaú e QuintoAndar, Giovanni é formado em Engenharia Civil pelo Instituto Mauá de Tecnologia e possui graduação no curso Data Science & Machine Learning da Tera.",['DS'],ciência de dados
38,maria-varnieri,Maria,Varnieri,TWFyaWEgVmFybmllcmkgMzc2MjIgMzEyMDg=.jpeg,,,Mentora de Carreira ,"Mentora de Carreira, com experiência em empresas como Grupo Habitasul, Oi, Lojas Renner e Portocred, Maria é formada em Psicologia pela UFRGS, com especialização em Psicologia Organizacional, Dinâmica dos Grupos, certificação em Coaching&Mentoring e formação avançada em Análise Transacional. ",['CONSULTANT'],carreira
39,paulo-lisboa,Paulo,Lisboa,UGF1bG8gTGlzYm9hIDM3MTQ1IDkwNTM5.jpeg,UGF1bG8gTGlzYm9hIDM3MTQ1IDc1NjY4IGNvbXA=.jpeg,TMOV,Senior Product Manager,"Senior Product Manager na TMOV, com experiência em empresas como Itaú Unibanco, Nextel, Sky e UOL, Paulo é formado em Marketing pela USP e possui MBA Executivo em Gestão de Negócios pela FGV.",['PM'],gestão de produtos
40,anna-caroline-souza,Anna,Caroline,QW5uYSBDYXJvbGluZSBTb3V6YSAxNDY0OSA2OTA2Mw==.jpeg,QW5uYSBDYXJvbGluZSBTb3V6YSAyNjIgMzA4MDFfYWRt.jpeg,iFood,Senior Product Manager,"Senior Product Manager com experiência em empresas como iFood, AMARO, The Walt Disney Company, Anna é formada em ADM pela UNICAMP.",['PM'],gestão de produtos
41,bruno-daniel,Bruno,Daniel,QnJ1bm8gRGFuaWVsIDIxNzcxIDMzOTEw.jpeg,QnJ1bm8gRGFuaWVsIDIxNzcxIDM5NTcgY29tcA==.jpeg,Insurance Corporation of British Columbia,Analytics Consultant,"Analytics Consultant com experiência em empresas como Orbitall, Itaú e Santander, hoje trabalhando no Canadá na Insurance Corporation of British Columbia, Bruno é formado em Engenharia de Computação e possui MBA em Administração pelo IMT.",['DS'],ciência de dados
42,marianna-piacesi,Marianna,Piacesi,TWFyaWFubmEgUGlhY2VzaSAxNTEwMiA4MDM4MA==.jpeg,TWFyaWFubmEgUGlhY2VzaSAxNTEwMiA4MjM3NiBjb21w.jpeg,Talkdesk,Design System Ops,"Bacharel em Comunicação Social e atua como Design System Ops na Talkdesk. Sempre envolvida em comunidades, hoje é organizadora da iniciativa VagasUX que busca promover uma curadoria de vagas e conteúdos para pessoas no começo da carreira, com projetos como o Guia do Product Designer e as Vagas Para Iniciantes. É mentora em alguns projetos, além de apoiar ativamente a comunidade com dicas e orientações gerais sobre o mercado de UX. Ilustradora nas horas vagas e viciada em videogames.",['UX'],design
43,augusto-mazzoni,Augusto,Mazzoni,QXVndXN0byBQaWVyenluc2tpIDE1MDk5IDgxMzUz.jpeg,QXVndXN0byBNYXp6b25pIDQxOCA1MDg4X2FkbQ==.jpeg,IFood,Group Product Manager,"Sou uma pessoa apaixonada por resolver problemas e melhorar processos dentro das empresas.
Sou responsável por transformar problemas em hipóteses e hipóteses em soluções. 

Uma forma que encontrei de aplicar essa paixão foi tornando-me Product Owner / Product Manager, projetando soluções e produtos que fizessem sentido e simplificassem a vida das pessoas e empresas.

Foco em resultados e análise de métricas e melhoria contínua de produtos e processos.

Sou muito comunicativo e adapto-me facilmente às mudanças.

Adoro conhecer novas pessoas, culturas, países e comportamento.",['PM'],gestão de produtos
44,luiz-fernando-ferreira,Luiz,Fernando,THVpeiBGZXJuYW5kbyBGZXJyZWlyYSAzMDEgODU4MTI=.jpeg,THVpeiBGZXJuYW5kbyAzMDEgMzMwODUgY29tcA==.png,FTD Educação,Sênior UX/UI Designer,"Designer estratégico, de serviço e UX/UI sênior, com experiência em empresas como Porto Seguro, Renault e Secretaria de Inovação e Tecnologia de SP. Atualmente ajuda no desenvolvimento de sistemas de aprendizado na FTD Educação. Luiz é formado em Comunicação Social e possui pós graduação em Design pelo Senac.","['UX', 'PM']",design
45,priscilla-alcassa,Priscila,Alcassa,UHJpc2NpbGxhIEFsY2Fzc2EgMzY3MCA2NjEyOQ==.jpeg,,Revelo | Awari ,Psicóloga| Consultora de Carreira| Headhunter| Career Mentoring,"Psicóloga, Consultora de Carreira e Headhunter com experiência em empresas como Revelo Network, Foxtime Recursos Humanos e d'hire, 

Apaixonada por conhecer, ajudar e desenvolver pessoas. Assessoro profissionais no processo de autoconhecimento, conexão com o mercado de trabalho e serem mais realizades em suas carreiras e na vida.

Sou Pós Graduada em Gestão de RH, Especialista MAPA Avaliações e DISC E-talent; atuando há mais de 15 anos em RH/recrutamento e seleção, Orientação Profissional / Carreira e projetos para responsabilidade social. 

Apaixonada por conhecer, ajudar e desenvolver pessoas. Assessoro profissionais no processo de autoconhecimento, conexão com o mercado de trabalho e serem mais realizades em suas carreiras e na vida.",['CONSULTANT'],carreira
46,andre-clug-bastos-gama,André,Clug,QW5kcsOpIENsdWcgMTIxMDAgNDAyODY=.jpeg,QW5kcsOpIENsdWcgQmFzdG9zIEdhbWEgMjIzIDY2MzYwX2FkbQ==.jpeg,Nomad,Senior Product Manager,"Senior Product Manager com 10 anos de experiência atuando em tecnologia e produtos digitais em empresas como Easynvest e Porto Seguro, nos segmentos financeiro (seguros, empréstimo e investimentos) e e-commerce.

Conhecimento das metodologias para desenvolvimento de produto: Definição de OKRs, Discovery, Construção de Roadmap.",['PM'],gestão de produtos
47,johann-arispe,Johann,Arispe,Sm9oYW5uIEFyaXNwZSA0MzMzIDUzMDA2.jpeg,,,,,['PM'],gestão de produtos
48,gabriel-melao,Gabriel,Melão,R2FicmllbCBNZWzDo28gMTMwNSA2MTkzNQ==.jpeg,R2FicmllbCBNZWzDo28gMTMwNSA1MDg1MiBjb21w.jpeg,SaudeID (Grupo Fleury) e Instrutor na Awari,Head of Products,"Head de Produtos na Saude ID com experiência em empresas como Pismo, B3 e Santander, Sou instrutor da Awari dos cursos de PM, PL e Discovery, com 8 anos de experiência com gestão de produtos.",['PM'],gestão de produtos
49,lucas-lo-ami-alvino-silva,Lucas,Lo Ami,THVjYXMgTG8gQW1pIEFsdmlubyBTaWx2YSAzMjAgNTg0MDY=.jpeg,,WildLife Studios,Data Scientist,"Data Scientist, com experiência em empresas de diversos setores, como WildLife Studios, Magalu, B2W e NuInvest. Lucas é formado em Ciênca da Computação pela Universidade de Brasília (UnB) e possui especialização em ciência de dados pela John Hopkins em parceria com o Coursera, além de Nanodegree de Machine Learning na Udacity.""

Gosto de conectar os conhecimentos técnicos de ciência de dados (estatística, machine learning, etc.) com problemas do mundo real de todos esses mercados e tenho foco em projetos que causem impacto nos negócios. 

Como mentor, prezo pela compreensão adequada dos conceitos por parte dos alunos, por ajudá-los na execução de projetos diversos e capacidade de se comunicar de forma clara e coesa. ",['DS'],ciência de dados
50,amanda-grande,Amanda,Grande,QW1hbmRhIEdyYW5kZSAxMTI4MSA3MzEzMA==.jpeg,QW1hbmRhIEdyYW5kZSAxODQgMzU0MjJfYWRt.jpeg,Itaú,Senior Product Manager,"Senior Product Manager, com experiência em empresas como Itaú, Empiricus, Nestlé e Nextel, Amanda é formada em Design Digital pela Universidade Anhembi Morumbi e possui Pós Graduação em Design Estratégico e Inovação pelo Instituto Europeu de Design.","['UX', 'PM']",design
51,ubyrajara-antonio,Bira,Moura,VWJ5cmFqYXJhIEFudG9uaW8gMTIzNTggMzk4OTA=.jpeg,VWJ5cmFqYXJhIEFudG9uaW8gMTIzNTggMjQ0NjYgY29tcA==.png,XP Inc,Senior Product Designer,"Senior Product Designer, com experiência em empresas como Softplan, iFood e XP Inc., Bira  é formada em Sistema de Informação e gerenciamento de operações pela Estácio e Farifield University e possui Pós-graduação em Logística e Supply Chain pela Uninter.","['UX', 'PM']",design
52,tatiane-carvalho,Tatiane,Idelzuita de Carvalho,VGF0aWFuZSBDYXJ2YWxobyAzNTkgNjI1OTE=.jpeg,,Will Bank,Product Designer Specialist,"Olá, eu sou a Tati, Product Designer Specialist no Will Bank e estou aqui para compartilhar o meu conhecimento e experiência além de aprender com vocês também. :)",['UX'],design
53,tharine-santana,Tharine,Santana,VGhhcmluZSBHIDM0Mjc5IDI0OTYy.jpeg,VGhhcmluZSBTYW50YW5hIDM0Mjc5IDk1MzA4IGNvbXA=.png,Frete.com,Product Designer,"Product Designer, com experiência no mercado internacional. Graduada em Publicidade e Propaganda e pós graduada em Design de Comunicação e Novos Medias pela Universidade de Lisboa.",['UX'],design
